序号,汉字,"通用规范汉字表等级",数量,ASR等级
695,吾,1,37420,1
696,豆,1,226525,1
697,两,1,1821551,1
698,酉,1,8703,2
699,丽,1,155604,1
700,医,1,1048191,1
701,辰,1,30028,1
702,励,1,102552,1
703,否,1,776833,1
704,还,1,4715076,1
705,尬,1,67298,1
706,歼,1,14709,1
707,来,1,6568611,1
708,连,1,520161,1
709,轩,1,19996,1
710,步,1,592518,1
711,卤,1,11497,1
712,坚,1,299255,1
713,肖,1,45314,1
714,旱,1,8418,1
715,盯,1,21506,1
716,呈,1,60159,1
717,时,1,6705819,1
718,吴,1,78217,1
719,助,1,557407,1
720,县,1,102877,1
721,里,1,3312771,1
722,呆,1,84220,1
723,吱,1,6420,1
724,吠,1,2512,2
725,呕,1,24333,1
726,园,1,211708,1
727,旷,1,7288,1
728,围,1,348011,1
729,呀,1,205975,1
730,吨,1,25443,1
731,足,1,535694,1
732,邮,1,146148,1
733,男,1,1679873,1
734,困,1,200307,1
735,吵,1,120182,1
736,串,1,48538,1
737,员,1,972484,1
738,呐,1,22724,1
739,听,1,942520,1
740,吟,1,15170,1
741,吩,1,1394,1
742,呛,1,6920,1
743,吻,1,46930,1
744,吹,1,114493,1
745,呜,1,16903,1
746,吭,1,4361,1
747,吧,1,1419680,1
748,邑,1,3259,1
749,吼,1,24294,1
750,囤,1,4719,1
751,别,1,2057842,1
752,吮,1,2928,1
753,岖,1,843,2
754,岗,1,70479,1
755,帐,1,94925,1
756,财,1,402758,1
757,针,1,194946,1
758,钉,1,19164,1
759,牡,1,10755,1
760,告,1,660197,1
761,我,1,17834045,1
762,乱,1,248352,1
763,利,1,1060986,1
764,秃,1,10883,1
765,秀,1,223489,1
766,私,1,241750,1
767,每,1,1405636,1
768,兵,1,227494,1
769,估,1,175329,1
770,体,1,2526112,1
771,何,1,2276728,1
772,佐,1,21163,1
773,佑,1,10298,1
774,但,1,3424204,1
775,伸,1,65242,1
776,佃,1,768,2
777,作,1,3251463,1
778,伯,1,87300,1
779,伶,1,3864,1
780,佣,1,15289,1
781,低,1,687767,1
782,你,1,6983613,1
783,住,1,622851,1
784,位,1,1566171,1
785,伴,1,173122,1
786,身,1,1897285,1
787,皂,1,24751,1
788,伺,1,7916,1
789,佛,1,225287,1
790,囱,1,1437,2
791,近,1,878322,1
792,彻,1,89291,1
793,役,1,52558,1
794,返,1,54548,1
795,余,1,224516,1
796,希,1,713231,1
797,坐,1,320312,1
798,谷,1,93284,1
799,妥,1,56604,1
800,含,1,298337,1
801,邻,1,45867,1
802,岔,1,5188,1
803,肝,1,131305,1
804,肛,1,25508,1
805,肚,1,79754,1
806,肘,1,9968,1
807,肠,1,121422,1
808,龟,1,41729,1
809,甸,1,11693,1
810,免,1,375755,1
811,狂,1,155329,1
812,犹,1,72274,1
813,狈,1,2473,1
814,角,1,560639,1
815,删,1,176397,1
816,条,1,728977,1
817,彤,1,6109,1
818,卵,1,104900,1
819,灸,1,13092,1
820,岛,1,150741,1
821,刨,1,6050,1
822,迎,1,167292,1
823,饭,1,449047,1
824,饮,1,222962,1
825,系,1,1581325,1
826,言,1,748177,1
827,冻,1,49311,1
828,状,1,553357,1
829,亩,1,9841,1
830,况,1,777874,1
831,床,1,235796,1
832,库,1,134398,1
833,庇,1,5394,1
834,疗,1,533408,1
835,吝,1,15654,1
836,应,1,1977715,1
837,这,1,9746275,1
838,冷,1,350273,1
839,庐,1,6434,1
840,序,1,350063,1
841,辛,1,121253,1
842,弃,1,209650,1
843,冶,1,6728,1
844,忘,1,217733,1
845,闰,1,3271,1
846,闲,1,109514,1
847,间,1,2156769,1
848,闷,1,78755,1
